Question	Answer	Intent	Entities	Link
I'm looking at the schedule right now for the SEAS Graduate Welcome Day. Are the welcome day events completely mandatory? And what does being there benefit the students beyond reading on orientation basics from online? I'm mainly asking because I would like to use some time in August to travel and the welcome day interrupts that schedule.	While Grad SEAS Welcome Day activities are not mandatory, we strongly encourage incoming graduate students to attend to meet fellow classmates, administrators, and faculty. These activities are intended to help familiarize new students with University resources and build community before everyone gets busy with academics.  Your Dept Orientation is mandatory, and I recommend you communicate any plans that conflict with you Dept administrator whose information can be found here.	Required	Welcome Day	
I'm a new graduate student. I've run into a problem about my I-20.I first waited for a month after submitting all the documents and I was told my financial support doesn't have sufficient amount of money so I obtained a new one and submitted it about three weeks ago but I haven't received any updates since then. I have been waiting for about two months in total and I'm still waiting for my I-20, which may possibly affect my visa application process. Would you please tell them about my situation and, if possible, shorten my waiting period?	Visa application information can be found here.  As noted, for questions related to the visa application process or the status of your I-20, please contact newintlstudent@columbia.edu.	Notification	I20	
I was admitted last week, but I have not yet received my student account. As a result, I can not complete my checklist and Pre-work assignments and have trouble dealing with housing. I understand that it may take some time for the Columbia system to generate my student account. Is there any way to accelerate the process?	It takes 3-5 days for your student record to be generated. You will receive your UNI and PID along with next steps within one week.	Creation	UNI	
I am an incoming student, and I would like to know if the housing application decision has been decided. Being an international student, I would love the opportunity of living on campus and be part of the Columbia community.	We are currently in the process of reviewing UAH applications. As you know, UAH allocations are very limited, and we recommend you review the information about housing options available here. The site password is SEAS2016.  UAH allocation notifications will be sent through early July. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by mid-July you may consider your application Waitlisted.	Notification	UAH	
I am from India and have been accepted for the Fall'16 MS in EE program at Columbia University. I have even received my I20 from Columbia University. However, due to some personal issues, I would not be able to attend Columbia.  Could you please tell me what procedures I must complete to return back the I20 and also by when I must return my I20?	For questions related to the visa application process or the status of your I-20, please contact newintlstudent@columbia.edu.	Application	Visa	
I am a newly admitted student to the Electrical Engineering MS program at Columbia. Sorry to disturb you. But I wonder if I need to mail my final transcripts and degree certificates before I arrive on campus. If yes, what is the deadline for them?  		Deadline	Transcript	
If I do not need to mail them in advance, how many sets of the documents should I bring when I leave for Columbia?	Yes, you can drop them off at SEAS Office of Graduate Admissions and Student Affairs. Please write your full name and UNI on the upper right corner of the envelope when you drop it off.	Dropoff	Transcript	
I plan to move in the house between August 15th and 19th, which means I will not live in the house during Summer Semester, Do I need to pay the Summer Semester Bill?	  You will not be billed for the summer. That is simply a notification of the rate.	Payment	Summer Housing	
Quick question regarding Welcome Day/Week activities. Are they only open to Grad SEAS students, or can Columbia students in other programs attend/purchase tickets for events? Or, are we allowed to purchase more than 1 ticket?	Welcome Day events are first opened exclusively to new students, and if tickets are left within two days of the event, they are opened to current Grad SEAS students. A few events during the year are co-sponsored with other schools, and some are open to alumni and guests. This will be explicit in the invitation language.	Info	Welcome Day	
This is an incoming student of the IEOR financial engineering master program. As my undergraduate school's medical center has experienced unforeseen technical problems accessing the immunization documents for the past few weeks, I only manage to get the record and immediately mail it today. I used the USPS priority mail so it should arrived at Columbia University before Friday. However in the latest mail you mentioned that the registration for Industrial Engineering will start early in July, which is fewer than 30 days away. May I know will my registration be affected? I'm really sorry for this unforeseeable situation and seek your understanding.	Once documentation of your first MMR vaccine does is received, the Columbia Health Office will lift the hold on your registration for 28 days (the required wait period between doses).	Info	Registration, Immunization	
I have obtained my bachelor’s degree a week ago, and I have got my official degree statement and copy of your original diploma from my institution. Unfortunately, I forgot to ask the officer in my institution to seal these two documents. I’m writing this email to ask you whether this will be ok? Because my hometown is thousands of kilometers away from my undergraduate institution, I don’t want to bother to go back to my university just for an envelope since that would cost a lot. I have got the original documents of my degree certificate and graduate certificate, will it be ok for me to bring this two documents to Columbia University and show I have finished my undergraduate study successfully.	Please refer your status to seasgradmit@columbia.edu.	Misc	Transcript	
I have submitted my photo online at June 15th but haven't received any reply from the student ID service. Is there any contact I could possibly turn to?	 There is no need for follow-up. The ID center has your photo and will produce your ID.	Info	ID	
 I am an incoming MFE student in IEOR Department for Fall 2016. I have tried to confirm my attendance of the Department Orientation by click the link provided by you. But I don't know why it shows that I have no access to the website.  I am wondering if you can help me to check this problem and I can confirm my attendance then.	Please use your columbia.edu email address.	Issue	Attendance	
I tried registering for the IEOR department orientation at the link above, yet permission was needed to access the page. Please let me know what I can do to gain permission.	Please use your columbia.edu email address.	Issue	Attendance	
 I am unable to access the link for confirming the attendance of the department specific orientation. Can you please let me know what I need to do to get permission?	Please use your columbia.edu email address.	Issue	Attendance	
I was trying to confirm my attendance using the link in your e-mail, but for some reason it doesn't work. I just see a page with a system error when I try to open the link from any computer or other device. Is there any other way to confirm my attendance?	Please use your columbia.edu email address.	Issue	Attendance	
I also wanted to ask whether it is possible to skip the Grad SEAS Welcome Day? I have to work till August 19, and I had planned to arrive on August 20.	2. Grad SEAS Welcome Day is not mandatory, but your Department orientation is required.	Required	Welcome Day	
I also have a question regarding the ID cards. I already submitted a photo for my ID card a few weeks ago and it was accepted. Do I have to do anything else to obtain my ID card in August?	3. No need to follow up re: ID cards; it will be printed and distributed at your Dept orientation. 	Info	ID	
Do you have any news about the Housing decision dates? Will it still be only at the end of July/beginning of August?	4. We are finalizing housing allocations this week. You should receive a notification by Tuesday. If you are waitlisted, I strongly recommend looking for alternate accommodations using the resources available here. The password is SEAS2017. 	Notification	Housing	
I also wanted to ask whether it is possible to skip the Grad SEAS Welcome Day? I have to work till August 19, and I had planned to arrive on August 20.	You are strongly encouraged to attend the Welcome Day on August 19. The sessions will provide a lot of information that will allow you to activate your student status at Columbia and help you to understand the policies and processes for course registration and degree completion.  That said, we understand there are unavoidable circumstances which may delay your arrival in New York.   Please join us for as many of the Fall Welcome Day activities listed here as possible.	Required	Welcome Day	
I also have a question regarding the ID cards. I already submitted a photo for my ID card a few weeks ago and it was accepted. Do I have to do anything else to obtain my ID card in August?	You are all set. IDs will be distributed during your Department-specific orientation. Department orientation dates may be found here. 			
Do you have any news about the Housing decision dates? Will it still be only at the end of July/beginning of August?	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application waitlisted.	Notification	Housing, UAH	
 I will be an MS candidate via the integrated BS/MS Mechanical Engineering program. As such, I imagine many of the requirements/criteria pertaining to first year graduate students do not apply to me. Would you be kind enough to let me know what expectations/requirements there are for me before returning to campus this fall (to finish my last year of undergrad)? Alternatively, you could simply point me in the direction of any information I may need. 	Fantastic! Please be sure to complete the step regarding Academic Advising and Registration Procedures.	Info	Checklist,Undergrad	
I'm an incoming chemical engineering masters student. I applied for on-campus housing in April, and I have also been actively searching for off-housing these past weeks but to no avail. I'm facing the possibility of withdrawing from Columbia if I am unable to find housing. Could you please tell me when I should expect a decision regarding on-campus housing? I understand that it is extremely limited, so I will be happy with any decision.	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application waitlisted.	Notification	Housing, UAH	
I desire to know that when can I receive the final decision about my UAH application? Because the status showed that it hasn't reviewed so far even though I've submitted my application for nearly three months . So could you please tell me when is the decision made? 	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application waitlisted.	Notification	Housing, UAH	
I worked at Columbia in the past and received an ID. It seems that I have an "active" card and can't submit a new photo. What should I do to receive a new card? I no longer have the old card.	Please refer to student ID center. 	Issue	ID	
I tried to register for my department orientation (Computer Science), but the Google Form says I need permission: "This form can only be viewed by users in the owner's organization."	Please use your columbia.edu email. You should be able to activate your UNI immediately. Have you reviewed the new student checklist here? If you haven't received emails from me previously, you will soon!	Issue	Attendance	
Also, do you know when we can begin to activate our UNI? It does not look like my account is in the system yet. Please advise. 	You should be able to activate your UNI immediately. Have you reviewed the new student checklist here? If you haven't received emails from SEAS GSA, you will soon. 	Activation	UNI	
I am an enrolled student in MS, mechanical engineering for fall2016. I wish to enquire about and purchase the tickets for the concerts mentioned in the orientation schedule.	Incoming students will receive email invitations to access discounted prices to all ticketed events, but capacity is limited, and tickets to most events sell out quickly. Be mindful of your academic responsibilities when purchasing tickets, as refunds will not be issued.	Info	Events	
Do we have to send meningitis vaccination documents as well or only MMR vaccination documents? The new student checklist has only asked us to send MMR vaccination documents, but, for Meningitis vaccine it is only asking for us to "Certify our Decision" as, if we have received it or are planning to receive it or won't receive it. It would be a great help if you could clarify this doubt, because, if we have sent the documents for Meningitis vaccination, what, where, and how should we send them?	Only MMR is required. Meningitis is optional, but you must certify your decision whether to submit or not, it is your decision. If you decide to send meningitis docs, the process for submission is the same.	Info	Immunization	
I'm a new admitted PhD student for applied physics. I made a very serious mistake with my housing application offers.   Today I log into my Columbia email and found that on June 9th I received a housing offer from UAH and it has already expired on June 15th.     I'm terribly sorry to not check my Columbia email in time. However I  can always receive all emails from Columbia by my other email address, so I previous thought I  can also receive the email from UAH by my other email address. I'm really sorry for my fault.    I've always been very concerned with my housing application. Indeed I completed application back in April and I also sent email to my Department Administrator on Jun 3rd asking for updates in housing. I really hope to get campus housing and I'd really appreciate if I can be considered to get housing in my second application. 	Please contact the SEAS Graduate Housing liaisons.	Issue	Housing, UAH	
I had sent my official transcripts (UG & PG) through DHL courier service & it was received by one of the college officials. Could you please confirm receipt of the same?	Please refer to seasgradmit@columbia.edu. 	Info	Transcript	
Could you please tell me when is the start date of classes?	Please read Step 7 of the new student check-list.	Info	start date	
